SrU2S5 mp-1195141
TbP4HO12 mp-1195189
KSb(SO4)2 mp-1195296
UCl2O13 mp-1196192
BiH16C4N2Cl5 mp-1198262
NaTbP2H2CO7 mp-1199113
BiP4NO12 mp-1199164
ZnSi3GeH35C13ClO mp-1199669
PtC8(SF3)4 mp-1200138
Cd3Pb2Se4(IO6)2 mp-1200930
H16S(N3O5)2 mp-1201997
K3NaP2O11 mp-1202013
PH18PtC6S3ClF6 mp-1202301
Sb3NF10 mp-1202907
Sn2H12C4Cl2O mp-1203168
SnH12C4(SCl2)2 mp-1203285
La2Si(IO2)2 mp-1203654
CsSb mp-1204039
Al(NO6)3 mp-1204227
MgP2H10(NO4)2 mp-1204422
Na2Lu3Te4(IO4)3 mp-1204668
P3PbNO9 mp-1204894
RbSi2BP(H3C)9 mp-1205289
SrU(MoO4)4 mp-1208685
LiPr(MoO4)2 mp-1211147
MgU2P2(H10O11)2 mp-1211200
K2PbCl6 mp-1211440
KAu(Cl2O)2 mp-1212182
Ba6Y2Ga4O15 mp-1214542
Ba6Ho2Ga4O15 mp-1214596
CaBe(SiO4)3 mp-1214917
CdRe2C4S4(NO)8 mp-1215040
MnCu(CO3)4 mp-1222244
K2Mg2Br3(ClO4)3 mp-1226411
CaAl2(SiO6)2 mp-1228769
Mn3Co8N9 mp-1245346
Mn9Ir2N9 mp-1245473
LiMn6N7 mp-1247150
NiPtO2 mp-1281376
YCoO3 mp-1288734
TbTaO4 mp-12932
YV(WO4)2 mp-1576090
Rb6Si2O7 mp-18483
KVTeO5 mp-18487
Rb2W2O7 mp-19144
V2Pb2O7 mp-22005
BeH8(ClO2)2 mp-23776
YH12(ClO2)3 mp-23958
H5ClO2 mp-24381
Rb2NiH12(SO7)2 mp-24688
Li3Ti2(PO4)3 mp-25839
Cs2Sb4S7 mp-27146
Mo9O26 mp-27701
Li2Te2O5 mp-27811
Te4P2O13 mp-29215
Ba2EuCl7 mp-29550
TlAsSe2 mp-30236
GaI3 mp-30954
KPb2Br5 mp-31508
Ba(SbSe2)2 mp-4727
KPO3 mp-5039
K2Ba(SO)12 mp-540627
Sb3O2F5 mp-541240
Hg7(P2Br3)2 mp-541403
H13S2N3O8 mp-541932
NaNb(OF)2 mp-555305
S5N2(O2F)4 mp-555436
Pu(SeO3)2 mp-555672
H8C3S2 mp-555848
ReO2F3 mp-556419
Ag2Mo3SeO12 mp-556429
Tc2O5F4 mp-556442
AuSCl7 mp-556587
Nd5Ti4FeO17 mp-557307
NaCaAlF6 mp-558169
B2H12C3(NO)6 mp-558377
Bi2O3 mp-558953
K3Cr2(PS4)3 mp-559251
C2SNCl2F5 mp-559455
Li2FeSiO4 mp-559518
HfB2O5 mp-559617
AsSXe2(OF3)3 mp-560077
LiTaSiO5 mp-560297
Te4Mo(OF4)5 mp-560414
KNi3As3O11 mp-560548
Ca2NbInO6 mp-560645
Si2Ag6O7 mp-561313
Rb2Sn2Hg3S8 mp-561434
Ba8Sb6S17 mp-561455
K2NaCo(CN)6 mp-567824
AlTlBr4 mp-567878
ICl mp-568024
K2PtC4(BrN2)2 mp-568299
SbH18C3(NCl2)3 mp-569604
RbAg2(AsSe2)3 mp-570593
Se2NCl3 mp-571134
Cs2Sb2OF10 mp-572332
Cs2Np2PO4F7 mp-572986
K10In5Sb9 mp-582813
Na5SiP3 mp-5929
SrCrBi12(Mo2O17)2 mp-642974
CrBi12Mo4PbO34 mp-642975
SbC(N3Cl2)3 mp-650049
