Sr3Y2N4 mp-1246531
Sr3(CoN2)2 mp-1246557
AlCoN2 mp-1246670
CrGeN2 mp-1246695
MgPbN2 mp-1246728
AlInN2 mp-1247201
Sr3(FeN2)2 mp-1247243
Zn4GeN4 mp-1247285
Mg4SiN4 mp-1247369
Ca3(ReN2)2 mp-1247515
Ga2Sn2S5 mp-14280
KGePO5 mp-14383
NaCaPO4 mp-14401
KSiSbO5 mp-14721
NaSiSbO5 mp-14730
KSnAsO5 mp-15107
Sc2Cu2O5 mp-15336
BaNaAlF6 mp-15515
Ag8SnS6 mp-15645
SnWO4 mp-17700
Na2ZnSiO4 mp-17709
Ba2Ge2Te5 mp-17885
Sr2CrO4 mp-19514
Er2Cu2O5 mp-21160
In2Cu2O5 mp-21617
Al2O3 mp-2254
BaYbCo4O7 mp-22743
PH8N2O3F mp-24157
H8S(NO2)2 mp-24468
LiZnPH2O5 mp-24585
CaAl2Si2(H2O5)2 mp-24603
LiP(HO2)2 mp-24610
LiNiPO4 mp-26387
LiFePO4 mp-26791
LiSnPO4 mp-27017
LiMoPO5 mp-27115
PCl3O mp-27277
Ba(Ag3O2)2 mp-27286
KEr2F7 mp-27925
P(HO)3 mp-28157
RbGeBr3 mp-28558
Hg5(SbI3)2 mp-28889
ZnGeN2 mp-2979
NpIO5 mp-30279
NbSbO4 mp-3491
NbSbO4 mp-3612
CdP2 mp-402
LiSbO3 mp-4995
LiH5S(NO2)2 mp-504426
TiCdO3 mp-5052
CsNb(CuTe2)2 mp-505321
SmBeF4 mp-505432
LiCoSiO4 mp-510760
Dy(CrS2)3 mp-532220
Hg2TeO5 mp-5363
Li4Ni3P4O15 mp-540518
Ba2SnS4 mp-540689
KSnPO5 mp-541459
CsTiAsO5 mp-541956
Fe2O3 mp-542896
Na2Si2O5 mp-554383
KXeO3F mp-554762
RbMoIO6 mp-554787
KNaSnF6 mp-555076
KCS2N(O2F)2 mp-555146
KLiCrO4 mp-555206
Na4Sc2Si4O13 mp-555825
CdP2Xe5F22 mp-556171
Rb3Y2(BO3)3 mp-556206
Bi2CO5 mp-556210
LiCdPO4 mp-556786
Ca(BO2)2 mp-556826
InBiO3 mp-556892
Sr2GeO4 mp-557311
LiH4SNO4 mp-557560
Ti(Ag4S3)2 mp-557833
KNaGeO3 mp-558085
LiB6O9F mp-558105
VCdBiO5 mp-558859
Mn2P2C12S(O2F3)4 mp-558968
NbTl(BO3)2 mp-559057
LiMoAsO6 mp-560015
KLiSO4 mp-560614
AgH12C6N5O3 mp-560619
K4Nb6O17 mp-560692
Na4Ni3P4O15 mp-560780
Rb2ZnCl4 mp-568350
SrAlSi4N7 mp-570577
AlHg2SbCl4 mp-570828
InGa2Cl7 mp-571379
CsNaSi2O5 mp-572951
H9C2(NO)3 mp-583606
TlSnPS4 mp-6057
Li2VPO6 mp-616566
PbCN2 mp-619032
Sr3Nd2(BO3)4 mp-6249
