YTa3O9 mp-752515
LiP(WO4)2 mp-753121
Li4H3BrO3 mp-753690
CuSb(PO4)2 mp-755148
BaLaI5 mp-755350
LuTa3O9 mp-756704
K3CaPCO7 mp-756968
Li2BiP3O10 mp-759915
Sr2Bi2O5 mp-760510
TiSn(PO4)2 mp-760599
Na4SnH32(SeO4)4 mp-762089
LiAgF4 mp-765339
LiV9O22 mp-767268
Na2YPCO7 mp-767462
Na3GePCO7 mp-768125
Na2SbPCO7 mp-768144
Na3MgPCO7 mp-768154
Li3MgPCO7 mp-768190
Li2HoPCO7 mp-768200
Li2YPCO7 mp-768220
Na2SnCSO7 mp-768867
Na3BiBAsO7 mp-770475
Na3NiBSO7 mp-771143
Na3FeAsCO7 mp-771144
Li3FeSiBO7 mp-771289
Na2BiBSO7 mp-772048
K3BePCO7 mp-772780
Na3SiSnBO7 mp-772986
Na2MnAsCO7 mp-773119
K2CoPCO7 mp-773463
Na3LiCuPCO7 mp-775936
V2O3 mp-776630
LiFe2F7 mp-777447
Sr2GaGeN mp-867219
SnH4 mp-978992
PrP5 mp-9848
TiS3 mp-9920
BiAuO2 mp-997082
MgAg3P3O13 mvc-10125
MgBi3P3O13 mvc-10248
MgSb3P3O13 mvc-10249
ZnCu3P3O13 mvc-10270
CaAg3P3O13 mvc-10305
Bi3P3O13 mvc-10355
CaCo3P3O13 mvc-10585
MgCo3P3O13 mvc-10586
VN mvc-13303
Ca2AgSbO6 mvc-3976
Ca2CoSbO6 mvc-4133
Mg2TaCuO6 mvc-4147
TaZn2CuO6 mvc-4255
AlFe3F15 mvc-6674
LiTi3P3O13 mp-1012865
BaY4Si5O17 mp-1019546
KBaBiTeO6 mp-1040443
NaFe3P3O13 mp-1040459
MgSi mp-1073794
LaAsO3 mp-1079050
Sr(ZnSn)2 mp-1080049
CeSe2 mp-1080310
CdNCl3 mp-1080587
SiS4 mp-1080657
