Pr(ClO4)3 mp-29887
Mo15S19 mp-31257
BaAl2O4 mp-3828
As3Pb5ClO9 mp-510724
Rb6O mp-540855
LaH18C3S3(O2F)9 mp-540953
SrTa4O11 mp-541462
Mg9Si5 mp-542854
Cr3Ag8(IO6)2 mp-554913
Pr3W(ClO2)3 mp-555930
Ba3In(BO2)9 mp-556038
K2HgC2S2(BrN)2 mp-556327
Sn5(W4O11)2 mp-557003
Ca2As3Pb3ClO12 mp-557347
Ba3Sc(BO2)9 mp-557994
Ca4Si6Pb6Cl2O21 mp-558268
SrBi2B2O7 mp-558323
Ba5P3ClO12 mp-558349
SiO2 mp-559091
Cr2B(PO4)3 mp-559723
Sr5As3ClO12 mp-559965
La9Sb16Br3 mp-567777
CsPr9Nb(Br5N2)3 mp-568707
EuCl3 mp-569895
Pu mp-582819
K3Mo2Cl9 mp-620069
Pr(HO)3 mp-625447
Mg3Sn mp-643067
Fe2(CO)9 mp-643081
As3Pb5ClO12 mp-645291
Ca5P3O12F mp-6473
Na2Zn2(TeO3)3 mp-672223
Al6B5(O5F)3 mp-6738
K2Ti(SiO3)3 mp-6810
Nb3CoS6 mp-7116
Sr3GaN3 mp-7191
Lu(HO)3 mp-755902
Ho(ClO4)3 mp-770426
Ba14Na8CaN6 mp-777942
K2Si4O9 mp-8380
Ba3Co(CN)3 mp-861914
La3MnW(SO2)3 mp-866694
Ti3Se4 mp-9227
Ba3MnN3 mp-9324
Si3N4 mp-988
GaSb mp-1018059
HoCuSn mp-1024954
LaSbPd mp-1025082
NaRuN mp-1029313
CeSe2 mp-1080309
Zn2Ga2S5 mp-1094004
Ti2(InBr3)3 mp-1101135
Eu7Au3 mp-1106137
In3GaN4 mp-1120750
YH3 mp-1178678
YbZnSn mp-11831
GeC mp-1184550
HgC mp-1184566
IrI mp-1184756
InH mp-1184767
TlH mp-1187501
Bi2O3 mp-1188316
Nd4FeS6O mp-1190394
Rb6HgS4 mp-1190842
Eu4I6O mp-1191507
Ho8In3Co mp-1192267
Dy8In3Co mp-1192724
MnInO3 mp-1193141
KZn4SbO7 mp-1193473
Tm2S3 mp-1193566
Lu2S3 mp-1193977
Cr7C3 mp-1196316
Cd(PN2)2 mp-1196424
Nd23Mg4Pt7 mp-1200594
PrAgGe mp-1206286
Dy2NiAs2 mp-1206295
Yb3(Co2Sn)4 mp-1207700
Sm3(Ni3Sn2)2 mp-1209076
Sm3(Co2Sn)4 mp-1209183
Rb6CdO4 mp-1209286
Sm23Cd4Ru7 mp-1209574
Ni2Mo3O8 mp-1209899
K3SI mp-1211900
La23Cd4Ir7 mp-1212154
La15Ge9P mp-1212852
Cd2Mo3O8 mp-1213890
Ba5Re3IO15 mp-1214601
Ba3Sr2Re3ClO15 mp-1214717
YH18(BrO6)3 mp-1216448
SrAl12O19 mp-1218531
SrFe12O19 mp-1218653
K2Co2(SeO3)3 mp-1223719
Ba3TiZnWO9 mp-1228110
Ba3TbIrRuO9 mp-1228219
Ba3TiFe2O9 mp-1228231
Al3BC3 mp-1228599
ZnMoN2 mp-1245674
NaCrN mp-1245737
NaGeN mp-1246750
AlCuO3 mp-1253258
MnAlO3 mp-1260288
K2SiF6 mp-13002
LuCuSn mp-13200
Ba3Ho(BO3)3 mp-14384
Ba3Lu(BO3)3 mp-14386
Ba4LiTa3O12 mp-16792
K6CdO4 mp-17161
K6CdTe4 mp-17698
YGaO3 mp-17853
Ba3NiSb2O9 mp-18611
Mg3Pt mp-18707
