Dy2SiSeO4 mp-18219
Na5VO5 mp-18233
ZnSe2O5 mp-18373
Nd2SiTeO4 mp-18542
Ho2SiSeO4 mp-18584
Sm2SiSeO4 mp-18610
CaMn2O4 mp-18844
K2MnSO4F3 mp-19304
WO3 mp-19342
Al2O3 mp-1938
LaCrSb3 mp-19861
PbO2 mp-20633
PbO mp-20878
Fe2(MoO4)3 mp-21925
Si3Ru2 mp-22192
Nb2NiO6 mp-22198
PBr5 mp-22874
TaBi4ClO8 mp-23602
Th2Se5 mp-2392
LiMo2(PO4)3 mp-25843
Ti(PO3)4 mp-26114
RbTlF4 mp-27210
LaNb5O14 mp-28155
Gd2NCl3 mp-28279
K2HgS2 mp-28859
NaScCl4 mp-29432
BaPdCl4 mp-30102
RbAsO2 mp-30299
Zr(TeCl)6 mp-31304
Hf(TeCl)6 mp-31305
Ca3(GaPt)2 mp-31479
Ca(BO2)2 mp-3417
NaNbO3 mp-3671
KTeF5 mp-4648
Na3P11 mp-473
TlAg3S2 mp-4762
UPbO4 mp-504922
EuTiAgO4 mp-505238
Cs2Te13 mp-505464
Fe3O4 mp-505595
Fe2O3 mp-510080
WO3 mp-510417
VBiO4 mp-540864
Hg7Cl2O3 mp-541193
Rb3As11 mp-542233
Ce2SiTeO4 mp-542663
CsHCO2 mp-542704
CdGe(BiO3)2 mp-555027
K3Sc(MoO4)3 mp-555776
Ta2S mp-555935
Pb2CO3F2 mp-555946
Y10W2O21 mp-556220
V2CdO6 mp-556313
MgUB2O7 mp-557384
TlZn(PO3)3 mp-557589
Sb2TeSeF10 mp-557635
CuAs4S3Cl mp-558199
Zn2P2O7 mp-559319
Nd2Ti3(ClO4)2 mp-559560
AgTeNO5 mp-559562
K2Ag6Sn3S10 mp-559880
LiAl(PO3)4 mp-559987
K4Sb2N3O9F7 mp-560219
AgCN3O2 mp-560460
Ca2AsClO4 mp-560595
B3Pb6ClO10 mp-560833
BaUO4 mp-5611
WO3 mp-566278
CeCoSb3 mp-568089
Sr7GeN6 mp-568436
SmCoSb3 mp-569163
TlAu(CN)2 mp-569173
LaNiSb3 mp-569538
Cu2P8Se3I2 mp-570817
SiO2 mp-600070
Sm2SiTeO4 mp-6055
Gd4Au2O9 mp-623092
NaHO mp-626778
TlHg3As2Cl3 mp-628647
GeTe mp-628781
V2P2O9 mp-628951
Nd3(GeRu)2 mp-630836
RbC2N3 mp-637242
SiO2 mp-639748
TlP(HO2)2 mp-643701
MgSiO3 mp-644879
Fe3O4 mp-650112
Pr6Si4Ni7 mp-650277
K2Fe2P2O7F2 mp-651601
PbO mp-672237
LiSb(PO3)4 mp-672958
Re3(SeCl)7 mp-679999
Ca4Al6O13 mp-680193
Cu2P8Se3Br2 mp-683899
H6CN2O3 mp-696658
H2S mp-696805
CsAg(BH)10 mp-699468
TlF mp-720
K2H6PtC4N4O3 mp-720283
UH10N2O7 mp-720295
H13ClO6 mp-720861
Li3CuS2 mp-753737
SrCaI4 mp-754885
BaTeO4 mp-754967
Cs2BaO2 mp-755217
Ba2SrI6 mp-756624
LiFe(PO3)3 mp-758321
LiV2(PO4)3 mp-758344
Li2Cr2Si2O9 mp-758712
As2HPbF13 mp-758957
Li2Cr2P2O7F2 mp-758993
Li2CrPO4F mp-759202
Li3CuF6 mp-759657
Zn2Hg2H2S2O11 mp-761169
Ba2CaI6 mp-766317
VSO4F3 mp-768093
Mg(IO3)2 mp-768315
Ho2(SO4)3 mp-768800
Y2(SeO4)3 mp-769147
Y4Ga2O9 mp-769480
Li2Cr2(SO4)3 mp-770410
Ho2(SeO4)3 mp-770431
Mn2P2O7F2 mp-770557
Sr2CaI6 mp-771645
Ga2(WO4)3 mp-772174
Y2W2O9 mp-772342
LaSCl mp-772534
BaSr2I6 mp-772876
Na4P3H3O11 mp-774455
TiO2 mp-775938
CdSiO3 mp-776023
LiVF4 mp-777566
Li2Fe2(SO4)3 mp-777573
Li3NbHO2F7 mp-777766
Li2Co2(SO4)3 mp-778578
Be2P2O7 mp-779108
Zn2As2O7 mp-779594
Ta2Zn4O9 mp-780506
NiS2 mp-850068
LiB3P(HO3)3 mp-850414
Tl2Cr3O12 mp-9754
Ca(SbO2)2 mvc-16469
Ca(AgO2)2 mvc-6179
Zn(AgO2)2 mvc-6242
Mg(BiO2)2 mvc-6262
Mg(SbO2)2 mvc-6307
Zn(SbO2)2 mvc-6325
Ca(CuO2)2 mvc-6329
Mg(AgO2)2 mvc-6411
MgCr2O4 mvc-6523
MgV2O4 mvc-6601
Mg(CoO2)2 mvc-6602
Ti2ZnO4 mvc-6621
Mg(CuO2)2 mvc-6622
Ca(NiO2)2 mvc-6637
V2ZnO4 mvc-6639
Zn(MoO2)2 mvc-6779
ZnCr2O4 mvc-6817
Zn(WO2)2 mvc-6827
MgMn2O4 mvc-6921
Mg(NiO2)2 mvc-6963
Zn(FeO2)2 mvc-7067
CrN2 mp-1015582
Rb2MgSi5O12 mp-1020860
BaGeN2 mp-1029743
CeSe2 mp-1080302
CeSe2 mp-1080851
CeSe2 mp-1087553
Ta2Co4O9 mp-1101344
In2O3 mp-1105681
Na2MgPO4F mp-11165
WO3 mp-1172828
Li2Cr2(SO4)3 mp-1178063
UN2O7 mp-1179344
Rb2UO3F4 mp-1179952
Nb2FeO6 mp-1180571
H5NO mp-1181559
K2Fe2P2O7F2 mp-1181859
Fe3P2H6O11 mp-1182551
KHSO4 mp-1182578
LaN3O13 mp-1182768
Hg(OF)2 mp-1188411
Ir2S3 mp-1188655
Bi2O3 mp-1190124
Li2Mg(HN)2 mp-1193106
Na2Ca(CO3)2 mp-1194807
Na3VS2(O4F)2 mp-1194885
RbH3CN2O mp-1195275
Gd2Ge(BO4)2 mp-1196136
Ba2Fe3(P2O9)2 mp-1196377
UI2O9 mp-1196432
CsCu2AsS3 mp-1196438
H8C2SBrNO mp-1196575
B5H4NO8 mp-1196660
CaU2V2O17 mp-1196876
Nd2Ge(BO4)2 mp-1197137
UC4O7 mp-1197307
GaN2OF5 mp-1197441
H2SO5 mp-1197484
SrMo4H4O15 mp-1197507
Os2C3 mp-1197685
Pt2Cl8O7 mp-1197699
RbBeN3 mp-1197886
Ca(AlH4)2 mp-1198688
Si5H6C4(NCl5)2 mp-1199804
SbSN2O4F3 mp-1199815
CdH2C4(S3N2)2 mp-1199936
Pt(N2O3)2 mp-1199962
Ba8Si6Sn mp-1200444
BP4(HO2)3 mp-1200474
ZrHg4(PCl3)2 mp-1200713
Na3NbHO2F7 mp-1200790
Ba2H8PtO8 mp-1200998
Si5H42(C7N)2 mp-1201090
BaSi(S2O7)3 mp-1201400
HgH4C2S2(N3Cl)2 mp-1202516
K3RhCl6O mp-1202599
Cu3PO7 mp-1203515
B2H26C8N20Cl2O mp-1204048
RbLiMoO5 mp-1204616
K2Fe2P2O7F2 mp-1205435
ZnH2C4(S3N2)2 mp-1207565
YGeBiO5 mp-1207680
TbTl(MoO4)2 mp-1208393
Ta2CdO6 mp-1208442
Ti4S24Cl6O mp-1208924
Si2Ag2O5 mp-1208960
RbPr(WO4)2 mp-1209392
RbHo(MoO4)2 mp-1209629
Np2S5 mp-1209834
LiGa(PO3)4 mp-1211020
Lu2(MoO4)3 mp-1211136
KTm(MoO4)2 mp-1211532
KHo(MoO4)2 mp-1211556
LiTiNF6 mp-1211870
KO4F mp-1211882
K2Hg3Se4 mp-1212008
Dy2(SO4)3 mp-1213482
H6C8I3NO5 mp-1213638
AsC18F17 mp-1214907
BaU2V2(HO3)4 mp-1215083
TiPb7N6 mp-1245331
SnPb7N6 mp-1245333
Ca7CN6 mp-1245373
Zn7GeN6 mp-1245376
MnGaN2 mp-1245398
CaCrN2 mp-1245472
Ru(CN)2 mp-1245675
Sr7SiN6 mp-1245748
Ba7GeN6 mp-1245756
Ca7CrN6 mp-1245851
Ba7ZrN6 mp-1245936
Sr7HfN6 mp-1246024
YGaN2 mp-1246253
Cd7SnN6 mp-1246263
AlInN2 mp-1246285
Cr7GeN6 mp-1246388
Zn7SiN6 mp-1246760
LiSbN2 mp-1246846
Ba7HfN6 mp-1246932
Zn2Si5N8 mp-1247426
MgTi(SiO3)2 mp-1262565
MgSi2WO6 mp-1263230
SnO2 mp-12978
CsNaSnF6 mp-14380
TiO2 mp-1439
TmAu2F9 mp-14761
Mo2C mp-1552
K3P11 mp-1568
Y2(SO4)3 mp-16025
Sm4Au2O9 mp-16160
Si3Os2 mp-16608
Th2S5 mp-1666
ZnTeO3 mp-16819
CaNb2O6 mp-17101
UCrO4 mp-17151
Rh2S3 mp-17173
KY(MoO4)2 mp-19499
W2C mp-2034
V2C mp-20648
Eu4Au2O9 mp-21787
Fe2WO6 mp-22124
Nb2FeO6 mp-22366
BaZnCl4 mp-23522
NbBi4ClO8 mp-23630
MgH2 mp-23711
KHSO4 mp-23800
AlH10N2OF5 mp-24618
Sn(PO3)4 mp-25908
Mo(PO3)4 mp-25988
LiV(PO3)4 mp-26955
LiCo(PO3)4 mp-26997
Na2TeO4 mp-27537
BH7N2 mp-27612
K2CdO2 mp-27742
K2S5O16 mp-27792
Fe2MoP12 mp-28104
Rb2CdO2 mp-28364
Se2NCl3 mp-28791
Pb(IO3)2 mp-28857
Nd2NCl3 mp-28970
NaLuCl4 mp-29001
Rb2Hg3Te4 mp-29107
Si2H6S mp-29309
