Ga2Te3 mp-38970
Na4BeAlSi4ClO12 mp-42508
Mo15N16 mp-530081
Sr3Ca6V7BiO28 mp-532540
Ga2S3 mp-539
S3(NO7)2 mp-540798
V2O3 mp-553955
SiO2 mp-555147
SiO2 mp-555235
VPO5 mp-556459
BaFeCuF7 mp-556590
GaAgS2 mp-556916
BCl(OF2)2 mp-557856
BaLi(BS2)3 mp-557892
CaMgAsO4F mp-558016
In2Cu2SiS6 mp-558055
Ti3(BiO3)4 mp-558277
In(PO3)3 mp-558582
K3Na2LiTeO6 mp-559875
Ca(PO3)2 mp-561008
PrCoC2 mp-567341
H8PtO6 mp-625111
H2SO4 mp-625445
H2SO4 mp-625474
H7BrO3 mp-625560
Sr(H8O5)2 mp-625801
Sr(H2O3)2 mp-625871
Sr(H8O5)2 mp-626260
Sr(H8O5)2 mp-626287
KLiSO4 mp-6318
RbCdH2I3O mp-634062
SiO2 mp-640556
In2Si(AgSe3)2 mp-640614
RhSCl5 mp-657300
RbPbF3 mp-674508
Cu2GeTe3 mp-674953
Li5GeAs3 mp-675964
AgBiS2 mp-675977
K3Ta2AsSe11 mp-683905
K3P2H(O3F)2 mp-684767
Li5SiP3 mp-685991
BaNa2Al4(SiO4)4 mp-686310
Ca3Si2(H3O5)2 mp-696156
KNaH6PtC4N4O3 mp-696179
CaZnSiH2O5 mp-696853
Na2CaPb3(CO3)5 mp-697211
H13Se2N3O8 mp-697645
Li3Cr2(PO4)3 mp-697753
Al2Si2H4O9 mp-698132
Ba5SrNd2Fe4O15 mp-698854
Al3P3H9C3NO14 mp-699455
KHo2Cu(MoO4)4 mp-699660
CdH8(NO5)2 mp-703542
Li3Fe2(PO4)3 mp-705329
CaAl2Si3H6O13 mp-707746
Na4Al3Ge3NO14 mp-720104
Al2Si2H4O9 mp-720262
Al2Si2H5C2NO10 mp-723020
CoH17C(NO)8 mp-735481
Fe2H13C6NCl2O11 mp-744001
SrV2P2(H4O7)2 mp-744533
Li2Cr2H4O9 mp-744929
Rb2ZrO3 mp-752401
NbO2F mp-752467
LiV2O3F mp-753091
LiMn3O6 mp-753112
LiCo(CO3)2 mp-753284
LiMn(PO4)2 mp-753867
Er2TiO5 mp-756443
Sr3La4O9 mp-757624
Ce6Y2O15 mp-758094
Li2(NiO2)3 mp-758831
Li3V3P8O29 mp-759039
LiMn3Al2(HO2)6 mp-759118
LiMnOF2 mp-759166
Li3V3P8O29 mp-760301
Li2VO3F mp-761092
Li2Fe(PO4)2 mp-762856
Li3Mn2F7 mp-764189
Na8FeO6 mp-764501
Li2Ni4OF8 mp-765224
Li3V3P8O29 mp-765488
Li3Mn2C3O9F mp-766471
Li3VF6 mp-767671
Sn2P2O7 mp-768330
